num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
2174,1.290992448039145,0.010534109553977267,0.4911652134902819,9011.650470286811,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2298,1.2995016937501171,0.0020248638430051535,0.09706682797468277,243898.06178530434,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2429,1.2883478904705405,0.013178667122581755,0.6495091083683647,5757.805938206368,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2568,1.2933836981609785,0.008142859432143768,0.41264296697130826,15081.555077945914,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2714,1.2792155192542864,0.022311038338835854,1.1623173059833993,2008.9097891027188,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
2869,1.32046617280018,0.01893961520705778,1.0144634988037606,2787.774860847604,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3033,1.312202360692284,0.010675803099161607,0.5879450798382481,8774.025445734664,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3206,1.2900568819621523,0.011469675630970011,0.6494308198795414,7601.472488795685,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3389,1.2927149326153669,0.00881162497775545,0.5129697905949414,12879.173368777369,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3582,1.307225955014157,0.0056993974210346465,0.34110786433193657,30785.209749092315,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
3787,1.3235098311054292,0.02198327351230689,1.352820002187311,2069.261003501832,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4003,1.2954188289454014,0.006107728647720911,0.38643150749449173,26806.525794677735,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4231,1.303435810081754,0.0019092524886317186,0.12418949984391058,274329.9783892497,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4473,1.306393756774103,0.004867199180980775,0.325520668238764,42212.56684992784,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4728,1.3001091883508682,0.0014173692422541073,0.09745895222965605,497776.04393431876,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
4997,1.3088041961071726,0.0072776385140502775,0.514452349240351,18880.741223884375,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
5283,1.290025650909289,0.011500906683833412,0.8359347609645977,7560.2444952840515,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
5584,1.3080053562001999,0.006478798607077563,0.48413578517574574,23823.80028363241,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
5903,1.2883253590694828,0.013201198523639546,1.0142610637526144,5738.168217622734,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
