Epsilon,N,VaR_prediction,VaR_theoretical,mu,sigma,confidence_level,T,dist,df,skew_alpha,rho
1.260339e-03,972639,1.302833,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.712048e-04,1028130,1.302044,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.706558e-03,1086787,1.303279,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.775695e-04,1148790,1.301195,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
9.869821e-04,1214331,1.302560,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.721951e-04,1283611,1.301745,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.414083e-04,1356844,1.301231,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.748992e-05,1434255,1.301600,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.031321e-04,1516082,1.301676,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.658386e-04,1602578,1.301938,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.162570e-04,1694008,1.302389,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.827746e-04,1790655,1.301955,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.444088e-04,1892816,1.302017,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.251247e-04,2000805,1.301247,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.412256e-05,2114955,1.301587,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.932521e-04,2235617,1.301379,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.205288e-04,2363164,1.301452,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.264573e-04,2497988,1.301246,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.190360e-04,2640503,1.301792,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.995618e-04,2791149,1.301273,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.296441e-04,2950390,1.301702,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.121051e-04,3118716,1.301360,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
6.183217e-04,3296645,1.300954,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.952539e-05,3484726,1.301612,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
4.647596e-04,3683537,1.301108,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.232891e-04,3893690,1.301249,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.820155e-04,4115833,1.300991,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
5.205212e-04,4350650,1.301052,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.048699e-04,4598864,1.301368,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
2.818875e-04,4861239,1.301291,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.368397e-04,5138582,1.301236,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
3.861129e-04,5431749,1.301186,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
8.943435e-05,5741642,1.301483,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.268063e-04,6069215,1.301446,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
1.892381e-04,6415476,1.301383,1.301573,0.150000,0.200000,0.950000,5,skewnorm,3,7.000000,0.600000
