method,dist,queries,epsilon,p_hat,true_p,error
classical,exponential,291,,0.041237113402061855,0.046254824938484214,0.005017711536422359
classical,exponential,327,,0.05198776758409786,0.046254824938484214,0.005732942645613644
classical,exponential,367,,0.051771117166212535,0.046254824938484214,0.005516292227728321
classical,exponential,413,,0.03631961259079903,0.046254824938484214,0.009935212347685185
classical,exponential,464,,0.05172413793103448,0.046254824938484214,0.005469312992550268
classical,exponential,521,,0.02495201535508637,0.046254824938484214,0.021302809583397843
classical,exponential,585,,0.037606837606837605,0.046254824938484214,0.008647987331646609
classical,exponential,657,,0.0578386605783866,0.046254824938484214,0.011583835639902389
classical,exponential,739,,0.05953991880920163,0.046254824938484214,0.013285093870717413
classical,exponential,830,,0.03253012048192771,0.046254824938484214,0.013724704456556505
classical,exponential,932,,0.04721030042918455,0.046254824938484214,0.0009554754907003388
classical,exponential,1047,,0.050620821394460364,0.046254824938484214,0.00436599645597615
classical,exponential,1176,,0.05697278911564626,0.046254824938484214,0.010717964177162045
classical,exponential,1321,,0.04390613171839516,0.046254824938484214,0.002348693220089057
classical,exponential,1484,,0.04380053908355795,0.046254824938484214,0.0024542858549262622
classical,exponential,1668,,0.043764988009592325,0.046254824938484214,0.0024898369288918892
classical,exponential,1873,,0.04271222637479979,0.046254824938484214,0.0035425985636844265
classical,exponential,2104,,0.04800380228136882,0.046254824938484214,0.0017489773428846084
classical,exponential,2364,,0.03976311336717428,0.046254824938484214,0.006491711571309934
classical,exponential,2656,,0.04254518072289157,0.046254824938484214,0.003709644215592646
classical,exponential,2983,,0.04693261816962789,0.046254824938484214,0.0006777932311436766
classical,exponential,3351,,0.0462548492987168,0.046254824938484214,2.436023258806097e-08
classical,exponential,3764,,0.04410201912858661,0.046254824938484214,0.002152805809897601
classical,exponential,4229,,0.04492787893118941,0.046254824938484214,0.001326946007294806
classical,exponential,4750,,0.048,0.046254824938484214,0.001745175061515787
classical,exponential,5336,,0.04516491754122939,0.046254824938484214,0.0010899073972548273
classical,exponential,5994,,0.04621287954621288,0.046254824938484214,4.1945392271335036e-05
classical,exponential,6734,,0.05138105138105138,0.046254824938484214,0.005126226442567168
classical,exponential,7564,,0.04838709677419355,0.046254824938484214,0.002132271835709333
classical,exponential,8497,,0.047428504177945155,0.046254824938484214,0.001173679239460941
classical,exponential,9545,,0.04850707176532216,0.046254824938484214,0.0022522468268379447
classical,exponential,10722,,0.044114903935832867,0.046254824938484214,0.0021399210026513474
classical,exponential,12045,,0.04624325446243254,0.046254824938484214,1.1570476051672718e-05
classical,exponential,13530,,0.047597930524759795,0.046254824938484214,0.0013431055862755809
classical,exponential,15199,,0.04756891900782946,0.046254824938484214,0.0013140940693452466
classical,exponential,17073,,0.04814619574767176,0.046254824938484214,0.0018913708091875467
classical,exponential,19179,,0.04650920277386725,0.046254824938484214,0.00025437783538303366
classical,exponential,21544,,0.04576680282213145,0.046254824938484214,0.0004880221163527654
classical,exponential,24201,,0.04636172059005826,0.046254824938484214,0.0001068956515740474
classical,exponential,27185,,0.048666544050027585,0.046254824938484214,0.0024117191115433714
